scrape_date,reit,community,address,market,unit_id,beds,baths,sqft,rent,move_in_date,lease_term,has_concession,concession_hardness,concession_raw,concession_type,concession_value,concession_pct_lease_value,concession_pct_lease_term,effective_monthly_rent,listing_url,first_seen,last_seen,state,city,latitude,longitude,floorplan_name,floor_level,rentcafe_property_id
2026-03-31,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-0br-416sqft-AVB-CA802-001-244,0,1.0,416,2205.0,2026-06-01,13,True,hard,Advertised rates include 2 months free!,months_free,2.0,15.38,15.38,1865.77,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-03-31,2026-03-31,CA,Los Angeles,34.0357752,-118.238244,,2,AVB-CA802
2026-03-31,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-0br-400sqft-AVB-CA802-001-658,0,1.0,400,2270.0,2026-04-06,15,True,hard,Advertised rates include 2 months free!,months_free,2.0,13.33,13.33,1967.33,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-03-31,2026-03-31,CA,Los Angeles,34.0357752,-118.238244,,6,AVB-CA802
2026-03-31,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-658sqft-AVB-CA802-001-320,1,1.0,658,2685.0,2026-04-01,13,True,hard,Advertised rates include 2 months free!,months_free,2.0,15.38,15.38,2271.92,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-03-31,2026-03-31,CA,Los Angeles,34.0357752,-118.238244,,3,AVB-CA802
2026-03-31,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-0br-528sqft-AVB-CA802-001-525,0,1.0,528,2280.0,2026-04-22,15,True,hard,Advertised rates include 2 months free!,months_free,2.0,13.33,13.33,1976.0,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-03-31,2026-03-31,CA,Los Angeles,34.0357752,-118.238244,,5,AVB-CA802
2026-03-31,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-0br-543sqft-AVB-CA802-001-263,0,1.0,543,2355.0,2026-04-20,15,True,hard,Advertised rates include 2 months free!,months_free,2.0,13.33,13.33,2041.0,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-03-31,2026-03-31,CA,Los Angeles,34.0357752,-118.238244,,2,AVB-CA802
2026-03-31,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-0br-524sqft-AVB-CA802-001-654,0,1.0,524,2420.0,2026-05-03,14,True,hard,Advertised rates include 2 months free!,months_free,2.0,14.29,14.29,2074.29,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-03-31,2026-03-31,CA,Los Angeles,34.0357752,-118.238244,,6,AVB-CA802
2026-03-31,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-0br-603sqft-AVB-CA802-001-714,0,1.0,603,2470.0,2026-04-22,15,True,hard,Advertised rates include 2 months free!,months_free,2.0,13.33,13.33,2140.67,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-03-31,2026-03-31,CA,Los Angeles,34.0357752,-118.238244,,7,AVB-CA802
2026-03-31,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-602sqft-AVB-CA802-001-553,1,1.0,602,2600.0,2026-04-04,14,True,hard,Advertised rates include 2 months free!,months_free,2.0,14.29,14.29,2228.57,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-03-31,2026-03-31,CA,Los Angeles,34.0357752,-118.238244,,5,AVB-CA802
2026-03-31,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-624sqft-AVB-CA802-001-372,1,1.0,624,2635.0,2026-04-28,14,True,hard,Advertised rates include 2 months free!,months_free,2.0,14.29,14.29,2258.57,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-03-31,2026-03-31,CA,Los Angeles,34.0357752,-118.238244,,3,AVB-CA802
2026-03-31,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-654sqft-AVB-CA802-001-696,1,1.0,654,2700.0,2026-04-09,14,True,hard,Advertised rates include 2 months free!,months_free,2.0,14.29,14.29,2314.29,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-03-31,2026-03-31,CA,Los Angeles,34.0357752,-118.238244,,6,AVB-CA802
