scrape_date,reit,community,address,market,unit_id,beds,baths,sqft,rent,move_in_date,lease_term,has_concession,concession_hardness,concession_raw,concession_type,concession_value,concession_pct_lease_value,concession_pct_lease_term,effective_monthly_rent,listing_url,first_seen,last_seen,state,city,latitude,longitude,floorplan_name,floor_level,rentcafe_property_id
2026-04-04,CPT,Camden Music Row,"1515 Demonbreun St Nashville, TN 37203",Nashville,CPT-camden-music-row-1br-706sqft-1516,1,1,706,1889.0,2026-05-29,14,True,hard,Apply by April 30 to receive up to 1 month FREE on apartment homes and up to TWO months FREE on penthouses!,months_free,1.0,7.14,7.14,1754.07,https://www.camdenliving.com/apartments/nashville-tn/camden-music-row/available-apartments,2026-03-31,2026-04-04,TN,Nashville,,,A12,,4803761
2026-04-04,CPT,Camden Music Row,"1515 Demonbreun St Nashville, TN 37203",Nashville,CPT-camden-music-row-1br-746sqft-1711,1,1,746,1929.0,2026-06-05,13,True,hard,Apply by April 30 to receive up to 1 month FREE on apartment homes and up to TWO months FREE on penthouses!,months_free,1.0,7.69,7.69,1780.62,https://www.camdenliving.com/apartments/nashville-tn/camden-music-row/available-apartments,2026-04-04,2026-04-04,TN,Nashville,,,A4,,4803761
2026-04-04,CPT,Camden Music Row,"1515 Demonbreun St Nashville, TN 37203",Nashville,CPT-camden-music-row-1br-786sqft-426,1,1,786,1939.0,2026-04-06,15,True,hard,Apply by April 30 to receive up to 1 month FREE on apartment homes and up to TWO months FREE on penthouses!,months_free,1.0,6.67,6.67,1809.73,https://www.camdenliving.com/apartments/nashville-tn/camden-music-row/available-apartments,2026-03-31,2026-04-04,TN,Nashville,,,A8A,,4803761
2026-04-04,CPT,Camden Music Row,"1515 Demonbreun St Nashville, TN 37203",Nashville,CPT-camden-music-row-1br-786sqft-726,1,1,786,1939.0,2026-04-06,15,True,hard,Apply by April 30 to receive up to 1 month FREE on apartment homes and up to TWO months FREE on penthouses!,months_free,1.0,6.67,6.67,1809.73,https://www.camdenliving.com/apartments/nashville-tn/camden-music-row/available-apartments,2026-03-31,2026-04-04,TN,Nashville,,,A8A,,4803761
2026-04-04,CPT,Camden Music Row,"1515 Demonbreun St Nashville, TN 37203",Nashville,CPT-camden-music-row-1br-792sqft-1107,1,1,792,2049.0,2026-05-07,14,True,hard,Apply by April 30 to receive up to 1 month FREE on apartment homes and up to TWO months FREE on penthouses!,months_free,1.0,7.14,7.14,1902.64,https://www.camdenliving.com/apartments/nashville-tn/camden-music-row/available-apartments,2026-03-31,2026-04-04,TN,Nashville,,,A9,,4803761
2026-04-04,CPT,Camden Music Row,"1515 Demonbreun St Nashville, TN 37203",Nashville,CPT-camden-music-row-1br-792sqft-1413,1,1,792,2049.0,2026-05-07,14,True,hard,Apply by April 30 to receive up to 1 month FREE on apartment homes and up to TWO months FREE on penthouses!,months_free,1.0,7.14,7.14,1902.64,https://www.camdenliving.com/apartments/nashville-tn/camden-music-row/available-apartments,2026-04-04,2026-04-04,TN,Nashville,,,A9,,4803761
2026-04-04,CPT,Camden Music Row,"1515 Demonbreun St Nashville, TN 37203",Nashville,CPT-camden-music-row-1br-792sqft-406,1,1,792,2049.0,2026-05-07,14,True,hard,Apply by April 30 to receive up to 1 month FREE on apartment homes and up to TWO months FREE on penthouses!,months_free,1.0,7.14,7.14,1902.64,https://www.camdenliving.com/apartments/nashville-tn/camden-music-row/available-apartments,2026-03-31,2026-04-04,TN,Nashville,,,A9,,4803761
2026-04-04,CPT,Camden Music Row,"1515 Demonbreun St Nashville, TN 37203",Nashville,CPT-camden-music-row-1br-810sqft-1114,1,1,810,2099.0,2026-05-08,14,True,hard,Apply by April 30 to receive up to 1 month FREE on apartment homes and up to TWO months FREE on penthouses!,months_free,1.0,7.14,7.14,1949.07,https://www.camdenliving.com/apartments/nashville-tn/camden-music-row/available-apartments,2026-03-31,2026-04-04,TN,Nashville,,,A13,,4803761
2026-04-04,CPT,Camden Music Row,"1515 Demonbreun St Nashville, TN 37203",Nashville,CPT-camden-music-row-1br-810sqft-1214,1,1,810,2099.0,2026-05-08,14,True,hard,Apply by April 30 to receive up to 1 month FREE on apartment homes and up to TWO months FREE on penthouses!,months_free,1.0,7.14,7.14,1949.07,https://www.camdenliving.com/apartments/nashville-tn/camden-music-row/available-apartments,2026-03-31,2026-04-04,TN,Nashville,,,A13,,4803761
2026-04-04,CPT,Camden Music Row,"1515 Demonbreun St Nashville, TN 37203",Nashville,CPT-camden-music-row-1br-810sqft-1514,1,1,810,2099.0,2026-05-08,14,True,hard,Apply by April 30 to receive up to 1 month FREE on apartment homes and up to TWO months FREE on penthouses!,months_free,1.0,7.14,7.14,1949.07,https://www.camdenliving.com/apartments/nashville-tn/camden-music-row/available-apartments,2026-03-31,2026-04-04,TN,Nashville,,,A13,,4803761
2026-04-04,CPT,Camden Music Row,"1515 Demonbreun St Nashville, TN 37203",Nashville,CPT-camden-music-row-1br-810sqft-314,1,1,810,2099.0,2026-05-08,14,True,hard,Apply by April 30 to receive up to 1 month FREE on apartment homes and up to TWO months FREE on penthouses!,months_free,1.0,7.14,7.14,1949.07,https://www.camdenliving.com/apartments/nashville-tn/camden-music-row/available-apartments,2026-04-04,2026-04-04,TN,Nashville,,,A13,,4803761
2026-04-04,CPT,Camden Music Row,"1515 Demonbreun St Nashville, TN 37203",Nashville,CPT-camden-music-row-1br-777sqft-1123,1,1,777,2099.0,2026-06-12,13,True,hard,Apply by April 30 to receive up to 1 month FREE on apartment homes and up to TWO months FREE on penthouses!,months_free,1.0,7.69,7.69,1937.54,https://www.camdenliving.com/apartments/nashville-tn/camden-music-row/available-apartments,2026-03-31,2026-04-04,TN,Nashville,,,A7,,4803761
2026-04-04,CPT,Camden Music Row,"1515 Demonbreun St Nashville, TN 37203",Nashville,CPT-camden-music-row-1br-786sqft-1426,1,1,786,2139.0,2026-06-12,13,True,hard,Apply by April 30 to receive up to 1 month FREE on apartment homes and up to TWO months FREE on penthouses!,months_free,1.0,7.69,7.69,1974.46,https://www.camdenliving.com/apartments/nashville-tn/camden-music-row/available-apartments,2026-03-31,2026-04-04,TN,Nashville,,,A8,,4803761
2026-04-04,CPT,Camden Music Row,"1515 Demonbreun St Nashville, TN 37203",Nashville,CPT-camden-music-row-1br-786sqft-1826,1,1,786,2139.0,2026-06-12,13,True,hard,Apply by April 30 to receive up to 1 month FREE on apartment homes and up to TWO months FREE on penthouses!,months_free,1.0,7.69,7.69,1974.46,https://www.camdenliving.com/apartments/nashville-tn/camden-music-row/available-apartments,2026-03-31,2026-04-04,TN,Nashville,,,A8,,4803761
2026-04-04,CPT,Camden Music Row,"1515 Demonbreun St Nashville, TN 37203",Nashville,CPT-camden-music-row-1br-821sqft-401,1,1,821,2159.0,2026-04-06,15,True,hard,Apply by April 30 to receive up to 1 month FREE on apartment homes and up to TWO months FREE on penthouses!,months_free,1.0,6.67,6.67,2015.07,https://www.camdenliving.com/apartments/nashville-tn/camden-music-row/available-apartments,2026-03-31,2026-04-04,TN,Nashville,,,A14,,4803761
