scrape_date,reit,community,address,market,unit_id,beds,baths,sqft,rent,move_in_date,lease_term,has_concession,concession_hardness,concession_raw,concession_type,concession_value,concession_pct_lease_value,concession_pct_lease_term,effective_monthly_rent,listing_url,first_seen,last_seen,state,city,latitude,longitude,floorplan_name,floor_level,rentcafe_property_id
2026-04-04,ESS,Alpine Village,,Alpine,ESS-alpine-village-2br-672sqft-plan-2a,2,1.0,672,1897.0,2026-04-04,,False,,,,,,,,https://www.essexapartmenthomes.com/apartments/alpine/alpine-village/floor-plans-and-pricing,2026-04-04,2026-04-04,,,,,Plan 2A,,514263
2026-04-04,ESS,Alpine Village,,Alpine,ESS-alpine-village-2br-817sqft-plan-2b,2,1.0,817,2019.0,2026-04-04,,False,,,,,,,,https://www.essexapartmenthomes.com/apartments/alpine/alpine-village/floor-plans-and-pricing,2026-04-04,2026-04-04,,,,,Plan 2B,,514263
2026-04-04,ESS,Alpine Village,,Alpine,ESS-alpine-village-2br-920sqft-plan-2c,2,2.0,920,2359.0,2026-05-07,,False,,,,,,,,https://www.essexapartmenthomes.com/apartments/alpine/alpine-village/floor-plans-and-pricing,2026-04-04,2026-04-04,,,,,Plan 2C,,514263
2026-04-04,ESS,Park Viridian,,Orange County,ESS-park-viridian-0br-558sqft-city-park,0,1.0,558,2249.0,2026-04-24,,False,,,,,,,,https://www.essexapartmenthomes.com/apartments/anaheim/park-viridian/floor-plans-and-pricing,2026-04-04,2026-04-04,,,,,City Park,,510880
2026-04-04,ESS,Park Viridian,,Orange County,ESS-park-viridian-0br-593sqft-central-park,0,1.0,593,2287.0,2026-04-04,,False,,,,,,,,https://www.essexapartmenthomes.com/apartments/anaheim/park-viridian/floor-plans-and-pricing,2026-04-04,2026-04-04,,,,,Central Park,,510880
2026-04-04,ESS,Park Viridian,,Orange County,ESS-park-viridian-1br-755sqft-stanley-park,1,1.0,755,2329.0,2026-04-04,,False,,,,,,,,https://www.essexapartmenthomes.com/apartments/anaheim/park-viridian/floor-plans-and-pricing,2026-04-04,2026-04-04,,,,,Stanley Park,,510880
2026-04-04,ESS,Park Viridian,,Orange County,ESS-park-viridian-1br-674sqft-lincoln-park,1,1.0,674,2359.0,2026-04-04,,False,,,,,,,,https://www.essexapartmenthomes.com/apartments/anaheim/park-viridian/floor-plans-and-pricing,2026-04-04,2026-04-04,,,,,Lincoln Park,,510880
2026-04-04,ESS,Park Viridian,,Orange County,ESS-park-viridian-2br-992sqft-fairmont-park,2,2.0,992,2977.0,2026-04-04,,False,,,,,,,,https://www.essexapartmenthomes.com/apartments/anaheim/park-viridian/floor-plans-and-pricing,2026-04-04,2026-04-04,,,,,Fairmont Park,,510880
2026-04-04,ESS,Park Viridian,,Orange County,ESS-park-viridian-2br-992sqft-greenwood-park,2,2.0,992,3049.0,2026-04-04,,False,,,,,,,,https://www.essexapartmenthomes.com/apartments/anaheim/park-viridian/floor-plans-and-pricing,2026-04-04,2026-04-04,,,,,Greenwood Park,,510880
2026-04-04,ESS,Park Viridian,,Orange County,ESS-park-viridian-2br-1014sqft-discovery-park,2,2.0,1014,3107.0,2026-05-16,,False,,,,,,,,https://www.essexapartmenthomes.com/apartments/anaheim/park-viridian/floor-plans-and-pricing,2026-04-04,2026-04-04,,,,,Discovery Park,,510880
2026-04-04,ESS,Park Viridian,,Orange County,ESS-park-viridian-2br-974sqft-ponderosa-park-brand-new,2,2.0,974,3247.0,2026-04-04,,False,,,,,,,,https://www.essexapartmenthomes.com/apartments/anaheim/park-viridian/floor-plans-and-pricing,2026-04-04,2026-04-04,,,,,Ponderosa Park - BRAND NEW!,,510880
