scrape_date,reit,community,address,market,unit_id,beds,baths,sqft,rent,move_in_date,lease_term,has_concession,concession_hardness,concession_raw,concession_type,concession_value,concession_pct_lease_value,concession_pct_lease_term,effective_monthly_rent,listing_url,first_seen,last_seen,state,city,latitude,longitude,floorplan_name,floor_level,rentcafe_property_id
2026-04-13,INVH,Southern California,"39928 Snow Gum Ln, Murrieta, CA, 92562",Southern California,INVH-39928-snow-gum-ln-92562-2237,3.0,2.0,1364.0,3080.0,2026-04-13,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/39928-snow-gum-ln-92562-2237,2026-04-04,2026-04-13,CA,Murrieta,,,,,39928-snow-gum-ln-92562-2237
2026-04-13,INVH,Southern California,"39688 Avenida Miguel Oeste, Murrieta, CA, 92563",Southern California,INVH-39688-avenida-miguel-oeste-92563-1474,4.0,3.0,2253.0,3025.0,2026-04-13,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/39688-avenida-miguel-oeste-92563-1474,2026-04-04,2026-04-13,CA,Murrieta,,,,,39688-avenida-miguel-oeste-92563-1474
2026-04-13,INVH,Southern California,"13692 Basswood Dr, Corona, CA, 92883",Southern California,INVH-13692-basswood-dr-corona-ca-92883,3.0,2.0,1442.0,2999.0,2026-04-13,14 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/13692-basswood-dr-corona-ca-92883,2026-04-04,2026-04-13,CA,Corona,,,,,13692-basswood-dr-corona-ca-92883
2026-04-13,INVH,Southern California,"32626 Spun Cotton Dr, Winchester, CA, 92596",Southern California,INVH-32626-spun-cotton-dr-92596-2566,3.0,3.5,3362.0,3025.0,2026-04-13,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/32626-spun-cotton-dr-92596-2566,2026-04-04,2026-04-13,CA,Winchester,,,,,32626-spun-cotton-dr-92596-2566
2026-04-13,INVH,Southern California,"29623 Avenida de Real, Sun City, CA, 92586",Southern California,INVH-29623-avenida-de-real-sun-city-ca-92586,3.0,2.0,1293.0,3025.0,2026-04-15,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/29623-avenida-de-real-sun-city-ca-92586,2026-04-13,2026-04-13,CA,Sun City,,,,,29623-avenida-de-real-sun-city-ca-92586
2026-04-13,INVH,Southern California,"25215 Lone Oak Dr, Menifee, CA, 92586",Southern California,INVH-25215-lone-oak-drive-92586-120690,4.0,2.0,1959.0,3265.0,2026-04-13,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/25215-lone-oak-drive-92586-120690,2026-04-04,2026-04-13,CA,Menifee,,,,,25215-lone-oak-drive-92586-120690
2026-04-13,INVH,Southern California,"25067 Breccia Wy, Menifee, CA, 92586",Southern California,INVH-25067-breccia-way-92586-120566,4.0,2.0,1959.0,3265.0,2026-04-24,12 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/25067-breccia-way-92586-120566,2026-04-04,2026-04-13,CA,Menifee,,,,,25067-breccia-way-92586-120566
2026-04-13,INVH,Phoenix,"25617 W Nancy Ln, Buckeye, AZ, 85326",Phoenix,INVH-25617-w-nancy-ln-85326-7424,3.0,2.0,1852.0,1925.0,2026-05-12,23 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/25617-w-nancy-ln-85326-7424,2026-04-04,2026-04-13,AZ,Buckeye,,,,,25617-w-nancy-ln-85326-7424
2026-04-13,INVH,Phoenix,"2109 N 209th Ln, Buckeye, AZ, 85396",Phoenix,INVH-2109-n-209th-ln-85396-90931,4.0,3.0,2095.0,1849.0,2026-04-30,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/2109-n-209th-ln-85396-90931,2026-04-04,2026-04-13,AZ,Buckeye,,,,,2109-n-209th-ln-85396-90931
2026-04-13,INVH,Phoenix,"25357 W Chipman Rd, Buckeye, AZ, 85326",Phoenix,INVH-25357-w-chimpman-rd-85326-111254,3.0,2.0,1565.0,1925.0,2026-04-13,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/25357-w-chimpman-rd-85326-111254,2026-04-04,2026-04-13,AZ,Buckeye,,,,,25357-w-chimpman-rd-85326-111254
2026-04-13,INVH,Phoenix,"25313 W Chipman Rd, Buckeye, AZ, 85326",Phoenix,INVH-25313-w-chimpman-rd-85326-111256,3.0,2.0,1565.0,1925.0,2026-05-12,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/25313-w-chimpman-rd-85326-111256,2026-04-04,2026-04-13,AZ,Buckeye,,,,,25313-w-chimpman-rd-85326-111256
2026-04-13,INVH,Phoenix,"25203 W Chipman Rd, Buckeye, AZ, 85326",Phoenix,INVH-25203-w-chipman-rd-85326-120231,4.0,3.0,2197.0,1925.0,2026-04-13,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/25203-w-chipman-rd-85326-120231,2026-04-04,2026-04-13,AZ,Buckeye,,,,,25203-w-chipman-rd-85326-120231
2026-04-13,INVH,Phoenix,"25549 W Whyman St, Buckeye, AZ, 85326",Phoenix,INVH-25549-w-whyman-st-85326-9761,3.0,2.5,2485.0,1925.0,2026-04-13,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/25549-w-whyman-st-85326-9761,2026-04-04,2026-04-13,AZ,Buckeye,,,,,25549-w-whyman-st-85326-9761
2026-04-13,INVH,Phoenix,"23949 W Antelope Trl, Buckeye, AZ, 85326",Phoenix,INVH-23949-w-antelope-trl-buckeye-az-85326,4.0,2.0,1535.0,1925.0,2026-04-13,23 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/23949-w-antelope-trl-buckeye-az-85326,2026-04-04,2026-04-13,AZ,Buckeye,,,,,23949-w-antelope-trl-buckeye-az-85326
2026-04-13,INVH,Phoenix,"22959 W Papago Street, Buckeye, AZ, 85326",Phoenix,INVH-22959-w-papago-street-85326-100755,5.0,2.5,2361.0,1849.0,2026-04-13,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/22959-w-papago-street-85326-100755,2026-04-04,2026-04-13,AZ,Buckeye,,,,,22959-w-papago-street-85326-100755
2026-04-13,INVH,Phoenix,"22008 W Hadley St, Buckeye, AZ, 85326",Phoenix,INVH-22008-w-hadley-st-85326-100359,3.0,2.0,1585.0,1849.0,2026-05-08,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/22008-w-hadley-st-85326-100359,2026-04-04,2026-04-13,AZ,Buckeye,,,,,22008-w-hadley-st-85326-100359
2026-04-13,INVH,Phoenix,"20555 W Maiden Ln, Buckeye, AZ, 85396",Phoenix,INVH-20555-w-maiden-ln-85396-1884,3.0,2.5,2207.0,1849.0,2026-05-16,23 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/20555-w-maiden-ln-85396-1884,2026-04-04,2026-04-13,AZ,Buckeye,,,,,20555-w-maiden-ln-85396-1884
