scrape_date,reit,community,address,market,unit_id,beds,baths,sqft,rent,move_in_date,lease_term,has_concession,concession_hardness,concession_raw,concession_type,concession_value,concession_pct_lease_value,concession_pct_lease_term,effective_monthly_rent,listing_url,first_seen,last_seen,state,city,latitude,longitude,floorplan_name,floor_level,rentcafe_property_id
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-665sqft-08H,1,1.0,665,5264.0,2026-05-30,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,One Bedroom H,8,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-738sqft-08G,1,1.0,738,5469.0,2026-05-22,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,One Bedroom w/Home Office G,8,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-667sqft-04L,1,1.0,667,4749.0,2026-04-17,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,One Bedroom L,4,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-667sqft-05L,1,1.0,667,4918.0,2026-04-17,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,One Bedroom L,5,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-667sqft-16L,1,1.0,667,4940.0,2026-06-13,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-12,2026-04-12,,,,,One Bedroom L,16,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-667sqft-18L,1,1.0,667,4755.0,2026-04-12,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,One Bedroom L,18,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-781sqft-09F,1,1.0,781,6118.0,2026-06-13,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-12,2026-04-12,,,,,One Bedroom w/Home Office F,9,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-781sqft-14F,1,1.0,781,5600.0,2026-04-24,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,One Bedroom w/Home Office F,14,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-781sqft-22F,1,1.0,781,5689.0,2026-05-30,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,One Bedroom w/Home Office F,22,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-833sqft-19I,1,1.0,833,5660.0,2026-07-04,12,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,One Bedroom I,19,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-830sqft-10E,1,1.0,830,5599.0,2026-05-02,12,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,One Bedroom w/Alcove E,10,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-851sqft-07W,1,1.0,851,5790.0,2026-05-30,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,One Bedroom W,7,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-851sqft-14W,1,1.0,851,5535.0,2026-05-30,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,One Bedroom W,14,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-1220sqft-05X,1,1.0,1220,6585.0,2026-06-26,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,One Bedroom X,5,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-2br-1161sqft-15A,2,2.0,1161,8075.0,2026-06-20,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,Two Bedroom A,15,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-2br-1161sqft-20A,2,2.0,1161,7664.0,2026-04-12,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,Two Bedroom A,20,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-545sqft-19U,0,1.0,545,4128.0,2026-06-13,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,Studio w/Alcove U,19,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-545sqft-21U,0,1.0,545,3905.0,2026-04-12,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,Studio w/Alcove U,21,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-431sqft-10X,0,1.0,431,3653.0,2026-04-12,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,Studio X,10,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-431sqft-15X,0,1.0,431,3859.0,2026-07-04,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,Studio X,15,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-549sqft-08V,0,1.0,549,4147.0,2026-06-20,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,Studio w/Alcove V,8,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-549sqft-11V,0,1.0,549,4016.0,2026-05-22,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,Studio w/Alcove V,11,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-549sqft-21V,0,1.0,549,4227.0,2026-08-01,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-12,2026-04-12,,,,,Studio w/Alcove V,21,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-550sqft-08T,0,1.0,550,3777.0,2026-05-23,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,Studio w/Alcove T,8,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-550sqft-11T,0,1.0,550,3762.0,2026-04-12,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,Studio w/Alcove T,11,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-550sqft-23T,0,1.0,550,3909.0,2026-04-12,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,Studio w/Alcove T,23,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-556sqft-17S,0,1.0,556,4094.0,2026-06-05,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,Studio w/Alcove S,17,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-560sqft-05R,0,1.0,560,3932.0,2026-04-18,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,Studio w/Home Office R,5,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-581sqft-03N,0,1.0,581,4306.0,2026-06-05,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,Studio w/Alcove N,3,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-581sqft-12N,0,1.0,581,4271.0,2026-07-03,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,Studio w/Alcove N,12,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-557sqft-07P,0,1.0,557,4370.0,2026-05-22,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,Studio w/Alcove P,7,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-564sqft-02Q,0,1.0,564,3983.0,2026-05-30,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,Studio w/Alcove Q,2,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-564sqft-16Q,0,1.0,564,3967.0,2026-06-06,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,Studio w/Alcove Q,16,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-564sqft-21Q,0,1.0,564,3978.0,2026-06-20,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-12,2026-04-12,,,,,Studio w/Alcove Q,21,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-564sqft-22Q,0,1.0,564,3883.0,2026-05-22,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,Studio w/Alcove Q,22,37395
2026-04-12,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-582sqft-06Y,0,1.0,582,3897.0,2026-05-16,13,False,,,,,,,,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-04-04,2026-04-12,,,,,Studio w/Alcove Y,6,37395
